                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0356,                  4.242,                 4.1801,                 0.0042,                0.72932,                0.00922,                0.00362,                 2.4955,                 3.5747,                 4.1232,             0.00029409,             0.00029409,             0.00029409
                      2,                 3.0365,                 3.6819,                 3.9822,                0.00402,                0.72838,                0.05571,                0.01734,                 2.5271,                 2.9561,                  3.936,             0.00058527,             0.00058527,             0.00058527
                      3,                  2.917,                 3.2556,                 3.7175,                 0.7691,                0.16635,                0.04869,                0.01952,                 2.4966,                 3.6996,                  3.598,             0.00086444,             0.00086444,             0.00086444
                      4,                  2.776,                 3.1014,                 3.4827,                0.80248,                0.09868,                0.05241,                0.01743,                 2.6191,                 3.1021,                 3.5068,             0.00085501,             0.00085501,             0.00085501
                      5,                 2.5444,                 2.9911,                 3.2188,                0.84795,                0.16165,                0.12504,                0.04848,                  1.935,                 2.4445,                 3.2957,             0.00085501,             0.00085501,             0.00085501
                      6,                 2.3204,                 2.7189,                 2.9831,                0.02139,                0.71147,                0.10948,                 0.0511,                 2.0096,                  3.288,                 3.8447,             0.00083701,             0.00083701,             0.00083701
                      7,                 2.1052,                 2.4165,                 2.7734,                 0.9418,                0.17035,                0.18421,                0.09878,                  1.679,                 1.7912,                 2.6414,             0.00081901,             0.00081901,             0.00081901
                      8,                 1.9664,                 2.1993,                 2.6255,                0.95051,                0.17857,                0.21109,                0.12053,                 1.5096,                 1.6963,                 2.4044,             0.00080101,             0.00080101,             0.00080101
                      9,                 1.8186,                 2.0572,                 2.4602,                0.94979,                0.19821,                 0.2185,                0.13344,                 1.4712,                 1.6341,                  2.426,             0.00078301,             0.00078301,             0.00078301
                     10,                 1.7541,                 1.9353,                 2.4051,                0.97061,                0.20459,                0.23205,                0.14148,                 1.4571,                 1.3734,                 2.3685,             0.00076501,             0.00076501,             0.00076501
                     11,                 1.6358,                 1.7947,                 2.2973,                0.96644,                0.20959,                0.22889,                0.15364,                 1.2771,                 1.3024,                 2.1016,             0.00074702,             0.00074702,             0.00074702
                     12,                 1.5364,                 1.7255,                 2.2044,                0.98121,                0.21617,                0.23242,                0.15682,                 1.2357,                 1.1087,                 2.1236,             0.00072902,             0.00072902,             0.00072902
                     13,                 1.5004,                 1.6336,                 2.1433,                0.97926,                0.21711,                0.23887,                0.16638,                 1.1412,                 1.0864,                 1.9434,             0.00071102,             0.00071102,             0.00071102
                     14,                 1.4334,                 1.5441,                 2.0682,                0.99009,                0.22776,                0.24176,                0.15792,                 1.3027,                0.99103,                 2.0843,             0.00069302,             0.00069302,             0.00069302
                     15,                 1.4065,                 1.4924,                 2.0432,                0.97364,                0.23308,                0.23543,                0.16425,                 1.1032,                 1.0399,                 1.8912,             0.00067502,             0.00067502,             0.00067502
                     16,                 1.3942,                 1.4106,                 2.0269,                0.98048,                 0.2312,                0.31962,                0.23362,                 1.0938,                0.91749,                 1.8936,             0.00065703,             0.00065703,             0.00065703
                     17,                 1.3062,                 1.3797,                  1.952,                0.48932,                0.23167,                0.24011,                0.16381,                 1.1624,                0.85226,                 1.9551,             0.00063903,             0.00063903,             0.00063903
                     18,                 1.2915,                 1.3142,                 1.9183,                0.23074,                0.22522,                0.23805,                0.17301,                 1.0028,                0.81888,                 1.7998,             0.00062103,             0.00062103,             0.00062103
                     19,                 1.2744,                  1.359,                 1.9221,                0.74449,                0.22838,                0.23991,                0.17218,                 1.0657,                  0.812,                 1.8502,             0.00060303,             0.00060303,             0.00060303
                     20,                 1.2344,                  1.277,                 1.8724,                0.73306,                0.23308,                0.24168,                0.17779,                0.99584,                0.80909,                 1.7552,             0.00058503,             0.00058503,             0.00058503
                     21,                  1.224,                 1.2548,                 1.8635,                0.98061,                0.23496,                0.24015,                0.17585,                 1.0433,                0.79359,                 1.8227,             0.00056703,             0.00056703,             0.00056703
                     22,                  1.237,                 1.2593,                 1.8843,                0.99409,                0.23271,                0.25154,                0.19071,                0.94089,                0.74861,                 1.7065,             0.00054904,             0.00054904,             0.00054904
                     23,                 1.1996,                 1.2035,                  1.821,                0.48701,                0.24004,                0.24457,                0.18219,                 0.9802,                 0.7224,                 1.7336,             0.00053104,             0.00053104,             0.00053104
                     24,                 1.1984,                 1.1855,                 1.8251,                0.73407,                0.23778,                0.24325,                0.18603,                0.91944,                0.74554,                 1.6458,             0.00051304,             0.00051304,             0.00051304
                     25,                 1.1378,                 1.1272,                 1.7642,                  0.985,                0.23684,                0.24393,                0.18637,                0.96606,                0.71756,                  1.681,             0.00049504,             0.00049504,             0.00049504
                     26,                 1.1461,                 1.1155,                 1.7783,                0.98653,                0.23778,                0.24466,                0.18626,                0.95168,                0.70346,                 1.6707,             0.00047704,             0.00047704,             0.00047704
                     27,                 1.1695,                 1.1278,                 1.7922,                0.48949,                0.23778,                 0.2472,                0.18783,                0.90968,                 0.7049,                  1.647,             0.00045904,             0.00045904,             0.00045904
                     28,                 1.1353,                  1.103,                 1.7552,                0.98853,                 0.2346,                0.24544,                0.18565,                0.92326,                0.66355,                 1.6381,             0.00044105,             0.00044105,             0.00044105
                     29,                 1.0855,                 1.0682,                 1.7166,                0.97807,                0.23872,                0.23673,                0.18088,                0.91089,                0.74264,                 1.6355,             0.00042305,             0.00042305,             0.00042305
                     30,                 1.0767,                 1.0467,                 1.6974,                0.98214,                0.23872,                0.24163,                0.18497,                0.91464,                0.68785,                 1.6292,             0.00040505,             0.00040505,             0.00040505
                     31,                 1.0403,                0.95642,                 1.6726,                0.99326,                0.23729,                0.24557,                0.19153,                0.89602,                0.64944,                 1.6107,             0.00038705,             0.00038705,             0.00038705
                     32,                  1.065,                 1.0388,                 1.6897,                0.98355,                0.24019,                0.24595,                0.19368,                0.87667,                0.64001,                 1.5915,             0.00036905,             0.00036905,             0.00036905
                     33,                 1.0503,                0.99139,                 1.6743,                0.74321,                0.23579,                0.24681,                0.19398,                0.88428,                0.62012,                 1.5846,             0.00035106,             0.00035106,             0.00035106
                     34,                 1.0418,                0.99151,                 1.6617,                0.98585,                0.23496,                0.24432,                0.19067,                0.86791,                0.66216,                 1.5741,             0.00033306,             0.00033306,             0.00033306
                     35,                 1.0272,                0.97303,                 1.6606,                0.99159,                0.23402,                0.24717,                 0.1973,                0.86036,                0.60266,                 1.5694,             0.00031506,             0.00031506,             0.00031506
                     36,                 1.0474,                 1.0071,                 1.6736,                0.98888,                0.23402,                0.24572,                0.19209,                0.86919,                 0.6502,                 1.5602,             0.00029706,             0.00029706,             0.00029706
                     37,                 1.0113,                0.94633,                 1.6459,                0.98835,                0.23684,                0.24586,                0.19617,                  0.856,                0.59576,                 1.5519,             0.00027906,             0.00027906,             0.00027906
                     38,                 1.0368,                0.98566,                 1.6661,                0.98677,                 0.2359,                0.24254,                0.19098,                0.84786,                0.60169,                 1.5495,             0.00026106,             0.00026106,             0.00026106
                     39,                 1.0229,                 1.0011,                  1.651,                0.99161,                0.23214,                0.24502,                0.19553,                0.81485,                0.60815,                 1.5268,             0.00024307,             0.00024307,             0.00024307
                     40,                  1.008,                0.93043,                 1.6444,                0.98436,                0.23939,                0.24473,                0.19386,                0.82534,                0.60887,                 1.5353,             0.00022507,             0.00022507,             0.00022507
                     41,                0.91291,                 1.0267,                 1.6425,                0.98673,                0.23481,                0.24443,                0.19752,                  0.825,                0.58019,                 1.5114,             0.00020707,             0.00020707,             0.00020707
                     42,                0.87191,                0.90101,                 1.6129,                0.98304,                0.22838,                0.24024,                0.18567,                0.86493,                0.63748,                 1.5614,             0.00018907,             0.00018907,             0.00018907
                     43,                0.85625,                0.89087,                 1.6001,                0.98172,                0.23827,                0.24344,                0.19119,                0.86514,                0.63759,                 1.5416,             0.00017107,             0.00017107,             0.00017107
                     44,                0.82056,                0.84283,                 1.5407,                0.98561,                0.23872,                0.24392,                0.19277,                0.83837,                0.58847,                 1.5202,             0.00015308,             0.00015308,             0.00015308
                     45,                0.82684,                0.84398,                  1.548,                 0.9849,                0.23778,                0.24451,                0.19632,                0.82492,                0.58995,                 1.5031,             0.00013508,             0.00013508,             0.00013508
                     46,                0.81025,                0.81334,                 1.5213,                0.98428,                0.23814,                0.24338,                0.19543,                0.79743,                0.57061,                 1.4813,             0.00011708,             0.00011708,             0.00011708
                     47,                0.82462,                0.80773,                 1.5397,                0.98688,                0.23762,                0.24414,                 0.1949,                0.81553,                0.57028,                 1.4978,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     48,                0.80797,                0.79686,                 1.5443,                0.98618,                 0.2409,                0.24432,                0.19573,                0.79293,                  0.563,                 1.4809,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     49,                0.79121,                0.78968,                 1.5127,                0.98386,                0.24248,                0.24427,                0.19513,                0.80251,                0.56838,                 1.4806,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     50,                0.78559,                0.77729,                 1.5035,                0.98572,                 0.2406,                0.24436,                0.19834,                0.77866,                 0.5478,                 1.4615,             4.5086e-05,             4.5086e-05,             4.5086e-05
